epoch,timestamp,train_loss,val_i2t_recall@1,val_i2t_recall@5,val_i2t_recall@10,val_t2i_recall@1,val_t2i_recall@5,val_t2i_recall@10,val_avg_recall@1,val_avg_recall@5,val_avg_recall@10,val_i2t_median_rank,val_t2i_median_rank,val_i2t_mrr,val_t2i_mrr,val_avg_mrr,val_i2t_map,val_t2i_map,val_avg_map,val_text_score,val_image_score,val_group_score
1,2025-11-13T13:13:03.229709,0.6746782223383586,40.0,80.625,91.875,35.0,79.375,88.75,37.5,80.0,90.3125,2.0,2.0,0.5895911966302274,0.5479548753068533,0.5687730359685403,0.5895911966302274,0.5479548753068533,0.5687730359685403,13.750000000000002,32.5,12.5
2,2025-11-13T13:14:26.733202,0.6587172468503316,40.0,83.75,92.5,33.75,80.625,89.375,36.875,82.1875,90.9375,2.0,2.0,0.5956643233682707,0.5470015466924965,0.5713329350303835,0.5956643233682707,0.5470015466924965,0.5713329350303835,13.750000000000002,35.0,12.5
3,2025-11-13T13:15:49.901476,0.6430836200714112,41.875,84.375,91.875,35.0,81.25,89.375,38.4375,82.8125,90.625,2.0,2.0,0.6101436775943354,0.557663385683855,0.5839035316390953,0.6101436775943354,0.557663385683855,0.5839035316390953,13.750000000000002,35.0,12.5
4,2025-11-13T13:17:12.834293,0.6240764379501342,41.875,83.75,92.5,36.25,83.125,90.0,39.0625,83.4375,91.25,2.0,2.0,0.6134988726551226,0.5665412940197114,0.590020083337417,0.6134988726551226,0.5665412940197114,0.590020083337417,15.0,36.25,15.0
5,2025-11-13T13:18:36.040089,0.5991842706998189,42.5,83.75,92.5,35.0,82.5,90.0,38.75,83.125,91.25,2.0,2.0,0.620162490525542,0.5643814235555179,0.5922719570405299,0.620162490525542,0.5643814235555179,0.5922719570405299,13.750000000000002,33.75,13.750000000000002
6,2025-11-13T13:19:59.272271,0.567200219631195,43.125,85.625,91.25,35.0,81.25,90.0,39.0625,83.4375,90.625,2.0,2.0,0.6232363271096156,0.5566880894535021,0.5899622082815589,0.6232363271096156,0.5566880894535021,0.5899622082815589,15.0,35.0,15.0
7,2025-11-13T13:21:22.469893,0.5239030321439108,44.375,86.875,90.625,36.875,78.75,90.625,40.625,82.8125,90.625,2.0,2.0,0.6306332938249918,0.5639482838740689,0.5972907888495304,0.6306332938249918,0.5639482838740689,0.5972907888495304,25.0,31.25,17.5
8,2025-11-13T13:22:45.378857,0.4742607514063517,43.125,84.375,88.125,35.0,79.375,88.75,39.0625,81.875,88.4375,2.0,2.0,0.6153766503235996,0.5586063426590606,0.5869914964913301,0.6153766503235996,0.5586063426590606,0.5869914964913301,26.25,41.25,18.75
9,2025-11-13T13:24:07.981946,0.4248579939206441,38.125,81.875,86.25,31.874999999999996,79.375,88.125,35.0,80.625,87.1875,2.0,2.0,0.5794833827422067,0.5346529352291837,0.5570681589856952,0.5794833827422067,0.5346529352291837,0.5570681589856952,20.0,36.25,15.0
10,2025-11-13T13:25:30.827630,0.37920016845067345,35.625,78.75,83.125,33.75,79.375,86.875,34.6875,79.0625,85.0,2.0,2.0,0.546206735585661,0.5404841373985075,0.5433454364920842,0.546206735585661,0.5404841373985075,0.5433454364920842,22.5,35.0,17.5
11,2025-11-13T13:26:57.214123,0.33781977891922,33.75,75.625,81.25,33.75,75.625,85.625,33.75,75.625,83.4375,2.0,2.0,0.5257066388402254,0.5307377908432424,0.5282222148417339,0.5257066388402254,0.5307377908432424,0.5282222148417339,21.25,31.25,15.0
12,2025-11-13T13:28:20.047169,0.3043764928976695,33.75,73.125,78.75,35.625,76.25,85.625,34.6875,74.6875,82.1875,2.0,2.0,0.5144420272390196,0.5362209990234345,0.5253315131312271,0.5144420272390196,0.5362209990234345,0.5253315131312271,22.5,33.75,13.750000000000002
13,2025-11-13T13:29:42.255505,0.27791121006011965,33.125,70.625,77.5,36.25,76.25,83.75,34.6875,73.4375,80.625,2.0,2.0,0.5137573462729608,0.5382769378390476,0.5260171420560042,0.5137573462729608,0.5382769378390476,0.5260171420560042,27.500000000000004,32.5,17.5
14,2025-11-13T13:31:05.632623,0.2577592541774114,30.0,69.375,75.625,35.625,75.0,83.125,32.8125,72.1875,79.375,2.0,2.0,0.4881382719861748,0.5235199267530882,0.5058290993696315,0.4881382719861748,0.5235199267530882,0.5058290993696315,26.25,27.500000000000004,16.25
15,2025-11-13T13:32:28.386462,0.2423175444205602,30.625000000000004,68.75,76.875,35.625,72.5,83.125,33.125,70.625,80.0,2.0,2.0,0.48865258772346076,0.5246433174362185,0.5066479525798396,0.48865258772346076,0.5246433174362185,0.5066479525798396,22.5,28.749999999999996,13.750000000000002
16,2025-11-13T13:33:52.604704,0.2310876280069351,31.874999999999996,70.0,77.5,35.0,75.0,81.25,33.4375,72.5,79.375,2.0,2.0,0.48655793096472133,0.5202826688081817,0.5034202998864515,0.48655793096472133,0.5202826688081817,0.5034202998864515,25.0,31.25,15.0
17,2025-11-13T13:35:16.428865,0.22408677836259205,29.375,70.0,76.875,35.625,72.5,80.0,32.5,71.25,78.4375,2.0,2.0,0.48235511150177324,0.5210844031841528,0.501719757342963,0.48235511150177324,0.5210844031841528,0.501719757342963,22.5,28.749999999999996,15.0
18,2025-11-13T13:37:05.183047,0.21775630613168082,28.749999999999996,69.375,76.875,35.0,75.0,81.25,31.875,72.1875,79.0625,2.0,2.0,0.47195760399339387,0.5163884867669868,0.49417304538019036,0.47195760399339387,0.5163884867669868,0.49417304538019036,21.25,23.75,13.750000000000002
19,2025-11-13T13:38:53.422324,0.2168155680100123,30.625000000000004,68.125,76.875,34.375,74.375,83.125,32.5,71.25,80.0,2.0,2.0,0.48557331983543356,0.5154241513145774,0.5004987355750055,0.48557331983543356,0.5154241513145774,0.5004987355750055,22.5,27.500000000000004,15.0
20,2025-11-13T13:40:42.378903,0.21508129934469858,28.125,68.75,76.875,33.75,73.75,80.625,30.9375,71.25,78.75,2.0,2.0,0.4662404138736507,0.5048174545082877,0.4855289341909692,0.4662404138736507,0.5048174545082877,0.4855289341909692,22.5,28.749999999999996,13.750000000000002
